address,property_overview,price,property_url,purpose,property_description,num_bath_rooms,num_bed_rooms,area,cctv-security-amenity,parking-spaces-amenity,elevators-in-building-amenity,broadband-internet-amenity,maintenance-staff-amenity,building_type,building_nature,flooring-amenity,balcony-or-terrace-amenity,city,locality,address_1
"Narsingdi Sadar,Narsingdi,Narsingdi Sadar,Narsingdi,ব্রাহ্মন্দীর মোড়","2 seats will be rented in the mess from September. 1000 per seat fare. Line gas, water, electricity, fridge, wifi, filter are available. Location: Brahmandir Mor.",0,https://www.thetolet.com/en/narsingdi/narsingdi-sadar/6665/bachelor-house-tolet-from-september,Rent,Bachelor House Tolet From September ,1,1,0,,,,,,Apartment,Residential,,,,,"Narsingdi Sadar,Narsingdi,Narsingdi Sadar,Narsingdi,ব্রাহ্মন্দীর মোড়"
"Tangail Sadar,Tangail,Tangail Sadar,Tangail,বেপারীপাড়া দেলদুয়ার রোডে","Seats are vacant in 2 person room with balcony and attached bathroom facility in flat house at Shantikunj Mor / Beparipara Delduar Road, 4th floor next to main road. , the house has supply gas and internet facility. , anyone interested can get up in September.",0,https://www.thetolet.com/en/tangail/tangail-sadar/6667/bachelor-house-tolet-from-september,Rent,Bachelor House Tolet From September ,1,1,0,,,,,,Apartment,Residential,,,,,"Tangail Sadar,Tangail,Tangail Sadar,Tangail,বেপারীপাড়া দেলদুয়ার রোডে"
"Tangail Sadar,Tangail,Tangail Sadar,Tangail,বিশ্বাস বেতকা","sublet. Girl is required. 2-1 girls can stay. No gas so have to cook on ground floor., Rent: 3,500/-, Location: Biswas Betka, Behind Bowali Mosque.",350000,https://www.thetolet.com/en/tangail/tangail-sadar/6668/sublet-room-tolet-from-september,Rent,Sublet Room Tolet From September ,1,1,0,,,,,,Apartment,Residential,,,,,"Tangail Sadar,Tangail,Tangail Sadar,Tangail,বিশ্বাস বেতকা"
"Mirpur,Dhaka,Mirpur,Dhaka,ব্লকঃ ডি,রোডঃ৫,বাসাঃ১৪,সেকেশনঃ৬","1 room sublet will be given from 1st October., Student/Working female (1 person or 2 person), Location:, Block: D, Road: 5, House: 14, Section: 6, Mirpur, Facilities: Electricity, Gas, Water, Fridge, Bathroom Dining room, to be used by the renter alone. .balcony attest",0,https://www.thetolet.com/en/dhaka/mirpur/6670/sublet-room-tolet-from-october,Rent,Sublet Room Tolet From October ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,Mirpur,"ব্লকঃ ডি,রোডঃ৫,বাসাঃ১৪,সেকেশনঃ৬"
"Mirpur,Dhaka,Mirpur,Dhaka,মিরপুর ১২,ব্লক বি","Looking for female roommate ❤️❤️❤️, New Flat❤️❤️, 1st September, Mirpur 12, Block B, 2 seats in a big room for 3 persons with attest balcony wash room for rent., 3000 per seat with current gas bill. , th floor. , employment is good. ♦️♦️♦️",300000,https://www.thetolet.com/en/dhaka/mirpur/6671/bachelor-house-tolet-from-september,Rent,Bachelor House Tolet From September ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,Mirpur,"মিরপুর ১২,ব্লক বি"
"Mirpur,Dhaka,Mirpur,Dhaka,মিরপুর-১,ডি-ব্লক,রোড-৮","7th floor Chilekothar room 1 seat (Tk. 2800 inclusive of gas, electricity and water bill) for rent., **Job preparation student preferred**, Month: September 2022 onwards., clean house and full time water, gas and wifi. has , For rent must call., Location: Mirpur-1, D-Block, Road-8.",280000,https://www.thetolet.com/en/dhaka/mirpur/6673/bachelor-house-tolet-from-september,Rent,Bachelor House Tolet From September ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,Mirpur,"মিরপুর-১,ডি-ব্লক,রোড-৮"
"Mirpur,Dhaka,Mirpur,Dhaka,মিরপুর- ১০,বেনারসী পল্লী","Assalamu Alaikum, One seat will be vacant in girls flat inside Mirpur-10 Benarasi village from #September_1. Large room with attached bathroom and balcony. 2 persons in one room, rent 3250 taka per month.",325000,https://www.thetolet.com/en/dhaka/mirpur/6674/bachelor-house-tolet-from-september,Rent,Bachelor House Tolet From September ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,Mirpur,"মিরপুর- ১০,বেনারসী পল্লী"
"Mirpur,Dhaka,Mirpur,Dhaka,২/৩,সি,বর্ধনবাড়ী,দারুসসালাম থানার সামনে","*****RENT FROM OCTOBER 2022*****, **2 bed, 2 bathroom and 1 balcony, drawing cum dining, **line gas and water, *** electricity through card, **full time doorman, On the ground floor of a 6-storey building. , Location:, 2/3,C,Bardhanbari,Opposite Darussalam Police Station (Beside Intellectual Martyrs Minar),Mirpur-1,Dhaka-1216.",0,https://www.thetolet.com/en/dhaka/mirpur/6675/family-house-tolet-from-october,Rent, Family House Tolet From October ,2,2,0,,,,,,Apartment,Residential,,,Dhaka,Mirpur,"২/৩,সি,বর্ধনবাড়ী,দারুসসালাম থানার সামনে"
"Mirpur,Dhaka,Mirpur,Dhaka,ছাপরা মসজিদ,আবুবক্কর মাদরাসা","From 1st October, house for rent: family only, 3rd floor, 2 tiled rooms, 2 bathrooms, (1 attached), 2 balconies, drawing, dining and kitchen. , open on both sides,, bike/ cycle can be kept., rent: 11000, current ppaid meter., gas: 1080 taka ., water: 500 taka ., Address : Mirpur-1,60 feet, Chapra Masjid, Abu Bakr Madrasa, Balur Mat. ., 30 feet road in front of the house.",1100000,https://www.thetolet.com/en/dhaka/mirpur/6677/family-house-tolet-from-october,Rent,Family House Tolet From October ,2,2,0,,,,,,Apartment,Residential,,,Dhaka,Mirpur,"ছাপরা মসজিদ,আবুবক্কর মাদরাসা"
"Mirpur,Dhaka,Mirpur,Dhaka,ব্লক: বি,রোড: ০৮,বাসা: ১৪৫","3 bed, 3 bathroom, 1 dining, 1 drawing, 4 balcony, 1 kitchen for rent on 4th floor from 1st October 2022. no elevator , ?Rent: 20,000, ?Water: 700, ?Electricity: Meter wise, ?Gas: Meter wise, Address: Mirpur 12, Block: B, Road: 08, House: 145. 4th floor no picture",2000000,https://www.thetolet.com/en/dhaka/mirpur/6678/family-house-tolet-from-october,Rent,Family House Tolet From October ,3,3,0,,,,,,Apartment,Residential,,,Dhaka,Mirpur,"ব্লক: বি,রোড: ০৮,বাসা: ১৪৫"
"Mirpur,Dhaka,Mirpur,Dhaka,সংকর বাস স্যান্ড চেয়ারম্যান গলি","A seat will be rented in the drawing room from next September, lots of light and air, environment suitable for studying, interested can contact, , Location: Sankar Bus Sand Chairman Street. (West Dhanmondi). , you can see the house directly.",0,https://www.thetolet.com/en/dhaka/mirpur/6680/bachelor-house-tolet-from-september,Rent,Bachelor House Tolet From September ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,Mirpur,সংকর বাস স্যান্ড চেয়ারম্যান গলি
"Dhanmondi,Dhaka,Dhanmondi,Dhaka,39,north Road(vuter Goli)","TO LET! From October 2 rooms, 2 bathrooms, drawing+dining, baranda with kitchen (cylinder gas) small family (bachelors not allowed) Fifth floor e house for rent rent: 20000 tk excluding bill Address-39, north road (vuter goli) , Dhanmondi, Dhaka 1205.",0,https://www.thetolet.com/en/dhaka/dhanmondi/6681/family-house-tolet-from-october,Rent,Family House Tolet From October ,2,2,0,,,,,,Apartment,Residential,,,Dhaka,Dhanmondi,"39,North Road(Vuter Goli)"
"Uttara,Dhaka,Uttara,Dhaka,Dolipara,(3 নং সেক্টরের পিছনে)","#Sublet , Servlet/small family sublet for rent in one room in family flat from next September., # Separate washroom (not attached), # Supply gas and water, # Rent 7500 (No separate charges), # Location: Dolipara, Uttara (Behind Sector No. 3), Dolipara Jame Masjid Dolipara Jame Masjid",750000,https://www.thetolet.com/en/dhaka/uttara/6683/sublet-room-tolet-from-september,Rent,Sublet Room Tolet From September ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,Uttara,"Dolipara,(3 নং সেক্টরের পিছনে)"
"Uttara,Dhaka,Uttara,Dhaka,১০নং সেক্টরে রেসিডেন্সিয়াল","Residential Semi, Furnished flat for rent in Sector 10 Uttara., * Flat Size 1520_sft, * 3 Bed, 3 Bath, 2 Balcony, Kitchen, Dining, Drawing. 01Car parking, * Floor: 5th Floor., * Facing: East Facing., * Facilities: Lift, Car Parking, CC Tv, Security, 24hrs Guard., * Per Floor Unit 2, * Gas: Govt: Gas., * Flat Type: Residential Flat., * Rent 40,000/- (Negotiable), Service Charge 5000/-",4000000,https://www.thetolet.com/en/dhaka/uttara/6684/family-house-tolet-from-september,Rent,Family House Tolet From September ,3,3,0,,,,,,Apartment,Residential,,,Dhaka,Uttara,১০নং সেক্টরে রেসিডেন্সিয়াল
"Uttara,Dhaka,Uttara,Dhaka,H# 22/1,R# 06,Ranavola","To-Let (only male), One seat (Dining) is available from the month of 1st September, 2022., Facilities:, 1. Attached balcony with available air., 2. 2nd floor, total members will be 4 in the flat. So, no noise, no gathering., 3. Submersible pump, no need to boil water., 4. Gas, Internet, Current is available., 5. Rent Only Tk.1750 without utility., Address: H# 22/1, R# 06, Ranavola, Uttara-1230., (10 minutes walking distance from IUBAT)",175000,https://www.thetolet.com/en/dhaka/uttara/6685/bachelor-house-tolet-from-september,Rent,Bachelor House Tolet From September ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,Uttara,"H# 22/1,R# 06,Ranavola"
"Uttara,Dhaka,Uttara,Dhaka,10 Number Sector",10 number sector a female mass a 2seated room available hba September thaka,0,https://www.thetolet.com/en/dhaka/uttara/6687/bachelor-house-tolet-from-september,Rent,Bachelor House Tolet From September ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,Uttara,10 Number Sector
"২৫৮/১১,ঢোলাদিয়া সদর,Mymensingh Sadar,Mymensingh,২৫৮/১১,ঢোলাদিয়া সদর,Mymensingh Sadar,Mymensingh,ঢোলাদিয়া সদর ময়মনসিংহ",read the post,7000000,https://www.thetolet.com/en/mymensingh/mymensingh-sadar/6688/office-space-tolet-from-september,Rent,Office Space Tolet From September ,3,12,10000,,,,,,Office,Commercial,Yes,,,,"২৫৮/১১,ঢোলাদিয়া সদর,Mymensingh Sadar,Mymensingh,২৫৮/১১,ঢোলাদিয়া সদর,Mymensingh Sadar,Mymensingh,ঢোলাদিয়া সদর ময়মনসিংহ"
"Siddirgonj,Narayanganj,Siddirgonj,Narayanganj,তালতলা,সিদ্ধিরগঞ্জ,নারায়ণগঞ্জ","Sublet will be rented for (husband - wife) - can move in September only., , 1 room, bathroom next to the room, , Gas (cylinder gas) and electricity bills are separate, , Rent - 3000/-, , Location - Taltala Shahi Jame Masjid, Siddhirganj (Tk. 5 auto rental from the bridge), Narayanganj., , B. Dr. - Adamji EPZ 10/- from the front of the house easily accessible by auto rental, , Contact - 01770-493976",300000,https://www.thetolet.com/en/narayanganj/siddirgonj/6689/sublet-room-tolet-from-september,Rent,Sublet Room Tolet From September ,1,1,0,,,,,,Apartment,Residential,Yes,,,Narayanganj,"Siddirgonj,Siddirgonj,তালতলা,সিদ্ধিরগঞ্জ,নারায়ণগঞ্জ"
"Nilphamari Sadar,Nilphamari,Nilphamari Sadar,Nilphamari,ঠিকানাঃ শান্তিনগর",Flats with all modern amenities will be given for rent in Shantinagar area of ​​Nilphamari city.,0,https://www.thetolet.com/en/nilphamari/nilphamari-sadar/6691/family-house-tolet-from-september,Rent,Family House Tolet From September ,1,2,0,,,,,,Apartment,Residential,,,,,"Nilphamari Sadar,Nilphamari,Nilphamari Sadar,Nilphamari,ঠিকানাঃ শান্তিনগর"
"Nilphamari Sadar,Nilphamari,Nilphamari Sadar,Nilphamari,লোকেশন উপজেলার পাশে","House for rent, two rooms two baths, contact comments or inbox thanks",0,https://www.thetolet.com/en/nilphamari/nilphamari-sadar/6692/family-house-tolet-from-september,Rent,Family House Tolet From September ,1,2,0,,,,,,Apartment,Residential,,,,,"Nilphamari Sadar,Nilphamari,Nilphamari Sadar,Nilphamari,লোকেশন উপজেলার পাশে"
"Lalmanirhat Sadar,Lalmonirhat,Lalmanirhat Sadar,Lalmonirhat,ঠিকানাঃ কুড়াটারী ২নং ওয়াডে।",Room will be rented.,0,https://www.thetolet.com/en/lalmonirhat/lalmanirhat-sadar/6693/family-house-tolet-from-september,Rent,Family House Tolet From September ,1,2,0,,,,,,Apartment,Residential,,,,,"Lalmanirhat Sadar,Lalmonirhat,Lalmanirhat Sadar,Lalmonirhat,ঠিকানাঃ কুড়াটারী ২নং ওয়াডে।"
"Thakurgaon Sadar,Thakurgaon,Thakurgaon Sadar,Thakurgaon,ঠিকানাঃ সরকার পাড়া জামে মসজিদ।","House for rent, two rooms with dining, bathroom, kitchen,",0,https://www.thetolet.com/en/thakurgaon/thakurgaon-sadar/6694/family-house-tolet-from-september,Rent,Family House Tolet From September ,1,2,0,,,,,,Apartment,Residential,,,,,"Thakurgaon Sadar,Thakurgaon,Thakurgaon Sadar,Thakurgaon,ঠিকানাঃ সরকার পাড়া জামে মসজিদ।"
"Barguna Sadar,Barguna,Barguna Sadar,Barguna,ঠিকানাঃ বরগুনা টাউন হলের পাশে",1 employed / businessman roommate required from current or next month,0,https://www.thetolet.com/en/barguna/barguna-sadar/6696/bachelor-house-tolet-from-september,Rent,Bachelor House Tolet From September ,1,1,0,,,,,,Apartment,Residential,,,,,"Barguna Sadar,Barguna,Barguna Sadar,Barguna,ঠিকানাঃ বরগুনা টাউন হলের পাশে"
"Chandpur Sadar,Chandpur,Chandpur Sadar,Chandpur,লোকেশনঃ তালতলা বকাউল বাড়ি রোড,চাঁদপুর। (করিম পাটোয়ারী জামে মসজিদের পেছনে পুকুরের কোনায়)","4th floor north side of a brand new house for rent. , (family or girls mess), , three bedrooms, a drawing and dining together, two bathrooms, a kitchen, a balcony. Garage facilities are available for parking.",800000,https://www.thetolet.com/en/chandpur/chandpur-sadar/6697/family-house-tolet-from-september,Rent,Family House Tolet From September ,2,3,0,,,,,,Apartment,Residential,,,,,"Chandpur Sadar,Chandpur,Chandpur Sadar,Chandpur,লোকেশনঃ তালতলা বকাউল বাড়ি রোড,চাঁদপুর। (করিম পাটোয়ারী জামে মসজিদের পেছনে পুকুরের কোনায়)"
"Aftab Nagar,Dhaka,Aftab Nagar,Dhaka,Aftabnagar H Block","sublat for 1/2 #female (student or job holder), , One room with big balcony and attached wash room will be rented in the 6th floor #family house of the new building from October., The house has lift., , ( If you want to move up in #September) , , Rent: 9 thousand (including service charge + electricity + water + gas) excluding WiFi and Bua ., , Location: Aftabnagar, H Block. 8/10 minutes walking distance from Meradia Bazar., ,Knock if necessary don't knock unnecessarily.,Thank you.,",900000,https://www.thetolet.com/en/dhaka/aftab-nagar/6699/sublet-room-tolet-from-october,Rent,Sublet Room Tolet From October ,1,1,0,,,Yes,,,Apartment,Residential,Yes,Yes,Dhaka,Aftab Nagar,Aftabnagar H Block
"Dinajpur Sadar,Dinajpur,Dinajpur Sadar,Dinajpur","Single room for rent in Chilekotha in Six Floors, Attached Bath Tiled,",0,https://www.thetolet.com/en/dinajpur/dinajpur-sadar/6701/bachelor-house-tolet-from-september,Rent,Bachelor House Tolet From September ,1,1,0,,,,,,Apartment,Residential,,,,,"Dinajpur Sadar,Dinajpur,Dinajpur Sadar,Dinajpur"
"Rayer Bazar,Dhaka,Rayer Bazar,Dhaka,Hashem Khan Road,Partex Gali,Reyer Bazar 32/27/3,(","2 Master bedroom for rent from October 2022 in luxurious apartment house.(For Boys), Facilities: Attached bathroom, @ #.Lift #.Generator- 24 /7# 24 hours security guard# CCTV monitoring. , 3rd floor# # Wi-Fi.# Refrigerator facility# # Purified water. Parking#Dining#Cleaner#.Gas#.Large dining space, Location: Rayer Bazar [Dhanmondi], Contact: 01841865428, Leave a message or call me for further information. Thank you.",800000,https://www.thetolet.com/en/dhaka/rayer-bazar/6702/bachelor-house-tolet-from-october,Rent,Bachelor House Tolet From October ,1,1,0,Yes,1.0,Yes,Yes,,Apartment,Residential,Yes,Yes,Dhaka,,"Rayer Bazar,Rayer Bazar,Hashem Khan Road,Partex Gali,Reyer Bazar 32/27/3,("
"bashundhara Road,JONAB ALI ROAD(Baily,Ka3/F2 (Sorif Bari M,Bashundhara R.A,Dhaka,bashundhara Road,JONAB ALI ROAD(Baily,Ka3/F2 (Sorif Bari M,Bashundhara R.A,Dhaka,Pitha Goli,Bashundhara Road,JFP South Pocket Gate","For NSU/IUB/AIUBian or any student!, Call for booking today 01967813634/ +880 1792-112271, Bailey pitha goli next to jamuna future park pocket gate just 2/3 min away from North South IUB, furniture per person (Bed, mattress, table wardrobe, food facility, fridge, light, fan, room, cleaning facility, clothes wash facility, water filter, single bed, table chair, locker mattress will be there., WIFI FREE, eating facility. Has water filter facility., Controlled by CC camera., So no problem with security., Single room for 1 person. There are seats in the master bed room for 2 people. Seats are vacant in room with balcony/bath for 2 persons. There are empty seats in the room for 3 people.,  , Address: Ka3/F2(Sharif Bari Mosque), Bashundhara Road, Bailey Pitha Goli, next to Pocket Gate of Jamuna Future Park",850000,https://www.thetolet.com/en/dhaka/bashundhara-r-a/6705/bachelor-house-tolet-from-october,Rent,Bachelor House Tolet From October ,1,1,150,Yes,,,Yes,,Apartment,Residential,Yes,Yes,Dhaka,Bashundhara R.A,"Bashundhara Road,Jonab Ali Road(Baily,Ka3/F2 (Sorif Bari M,Bashundhara Road,Jonab Ali Road(Baily,Ka3/F2 (Sorif Bari M,Pitha Goli,Bashundhara Road,Jfp South Pocket Gate"
"Mirpur 10,Opposite of Al helal,1226/A East Monipur,Mirpur,Dhaka,Mirpur 10,Opposite of Al helal,1226/A East Monipur,Mirpur,Dhaka,Baba Hujur Er Goli",,1300000,https://www.thetolet.com/en/dhaka/mirpur/6707/bachelor-house-tolet-from-october,Rent,Bachelor House Tolet From October ,1,1,120,,,,,,Apartment,Residential,Yes,Yes,Dhaka,Mirpur,"Mirpur 10,Opposite Of Al Helal,1226/A East Monipur,Mirpur 10,Opposite Of Al Helal,1226/A East Monipur,Baba Hujur Er Goli"
"2,মডেল থানা রোড়,৩২,Mirpur,Dhaka,2,মডেল থানা রোড়,৩২,Mirpur,Dhaka,হার্ট ফাউন্ডেশনের পিছনে",,800000,https://www.thetolet.com/en/dhaka/mirpur/6709/bachelor-house-tolet-from-september,Rent,Bachelor House Tolet From September ,1,1,250,,1.0,Yes,Yes,,Apartment,Residential,Yes,Yes,Dhaka,Mirpur,"2,মডেল থানা রোড়,৩২,2,মডেল থানা রোড়,৩২,হার্ট ফাউন্ডেশনের পিছনে"
"Rajshahi Sadar,Rajshahi,Rajshahi Sadar,Rajshahi,স্থান : কলাবাগান,হেতেম খা,(শাহেব বাজার এর নিকটবর্তি)।","✳️✴️House for rent✴️❇️‼️, ✳️(Family/Student)❇️, , ➡️(From September/ October)2022, ➡️ 2 rooms, 2 bathrooms (separate), attached balcony, kitchen, small dining.(3rd floor), ➡️ Room, 2 Bathrooms (separate), Attached Balcony, Kitchen, Small Dining.(3rd floor), #Food & Water Supply 24/7, #Fully Tiles, #Garage Small, #CCTV, #Wifi Facilities,",0,https://www.thetolet.com/en/rajshahi/rajshahi-sadar/6710/family-house-tolet-from-october,Rent,Family House Tolet From October ,1,2,0,,,,,,Apartment,Residential,,,,,"Rajshahi Sadar,Rajshahi,Rajshahi Sadar,Rajshahi,স্থান : কলাবাগান,হেতেম খা,(শাহেব বাজার এর নিকটবর্তি)।"
"Rajshahi Sadar,Rajshahi,Rajshahi Sadar,Rajshahi,ঠিকানাঃ রাজশাহী কলেজ মুসলিম হোস্টেলের সামনে সাহেব বাজার রোডে অবস্থিত সদ্যনির্মিত বহুতল কসমোপলিটন টাও","Newly constructed 1 flat for rent in Pran Kendra, Rajshahi city., An apartment for rent., , ★ 3 bedrooms + 3 bathrooms + 3 balconies + kitchen + drawing-dining, ★ 1400 sq ft (3rd floor - west ), ★ full time Lift and generator facilities. AC and geyser are lined, food and water are available in the unit. , ★ Each window glass is provided with mosquito net. , ★ Rent is negotiable and family will be given preference in terms of rent., House can be viewed upon contact.",0,https://www.thetolet.com/en/rajshahi/rajshahi-sadar/6711/family-house-tolet-from-october,Rent,Family House Tolet From October ,3,3,0,,,,,,Apartment,Residential,,,,,"Rajshahi Sadar,Rajshahi,Rajshahi Sadar,Rajshahi,ঠিকানাঃ রাজশাহী কলেজ মুসলিম হোস্টেলের সামনে সাহেব বাজার রোডে অবস্থিত সদ্যনির্মিত বহুতল কসমোপলিটন টাও"
"Rajshahi Sadar,Rajshahi,Rajshahi Sadar,Rajshahi","?️house for rent, 5th floor house 4th floor for rent, , => 2 master bed rooms, => 2 bathrooms (1 attached and 1 large common), => 1 dining, => 1 Kitchen , => 2 large balconies, => 1 separate wash basin, ➡️ Rent - (Negotiable) , , ?Completely new flat, , ✅Has AC, Geyser, IPS, ADJUSTFAN line facilities., ?Own submersible pump Food & water facility in kitchen itself., ✅separate electric meter., ✅bike parking available., ✅can go to roof., ?️noise free, quiet environment., ✅complete house with drawing, dining, kitchen, toilet, balcony wall Tiled., ⛔No gas connection., ✅Has big garage, ?Auto rental from market/railway station Rs.10.",0,https://www.thetolet.com/en/rajshahi/rajshahi-sadar/6712/family-house-tolet-from-october,Rent,Family House Tolet From October ,2,2,0,,,,,,Apartment,Residential,,,,,"Rajshahi Sadar,Rajshahi,Rajshahi Sadar,Rajshahi"
"Rajshahi Sadar,Rajshahi,Rajshahi Sadar,Rajshahi,লোকেশন : অকট্রয়মোড়,জামরুলতলা ( আরকেডিয়া স্কুল সংলগ্ন),কাজলা,মতিহার,রাজশাহী।","House rent notification: 02 room family house will be given for rent. 1. 02 rooms, 2. 2 bathrooms (01 attest), 3. Kitchen, 4. dining,",0,https://www.thetolet.com/en/rajshahi/rajshahi-sadar/6714/family-house-tolet-from-october,Rent,Family House Tolet From October ,2,2,0,,,,,,Apartment,Residential,,,,,"Rajshahi Sadar,Rajshahi,Rajshahi Sadar,Rajshahi,লোকেশন : অকট্রয়মোড়,জামরুলতলা ( আরকেডিয়া স্কুল সংলগ্ন),কাজলা,মতিহার,রাজশাহী।"
"Rajshahi Sadar,Rajshahi,Rajshahi Sadar,Rajshahi,যোগাযোগঃ- প্রতিশ্রয়,৪৩/১ শিরোইল (মোল্লা মিল ২য় গলি,রেল স্টেশন হতে সাগরপাড়া অভিমূখী রাস্তায় গেলে","#बारी_फारा, (Newly constructed building), , 3rd Floor-North Flat (Working Family):, Bed Room-2, Dining Space, Hanging Balcony-1, Toilet/Washroom-2 (with 1 Attached-Commode), Rent- 7,000 /- Rs., , AC, DIS, Geyser, IPS and Wi-Fi connectivity are well-equipped. Facilities of drinking water, car parking and 8 feet wide stairs in own submersible tubewell system.",0,https://www.thetolet.com/en/rajshahi/rajshahi-sadar/6715/family-house-tolet-from-october,Rent,Family House Tolet From October ,2,2,0,,,,,,Apartment,Residential,,,,,"Rajshahi Sadar,Rajshahi,Rajshahi Sadar,Rajshahi,যোগাযোগঃ- প্রতিশ্রয়,৪৩/১ শিরোইল (মোল্লা মিল ২য় গলি,রেল স্টেশন হতে সাগরপাড়া অভিমূখী রাস্তায় গেলে"
"Others,Dhaka,Others,Dhaka,ত্রিমোহনী,ইমামবাগ জামে মসজিদের সাথে,ত্রিমোহনী ব্রিজের দ্বিতীয় কালভার্ট,বনশ্রী/ খিলগাঁও","Brand new flat house for rent. 1950 square feet fully tiled second floor 3 bedroom, 3 balcony, 4 bathroom, drawing, draining, kitchen, store room and garage facilities for family.",1600000,https://www.thetolet.com/en/dhaka/others/6716/family-house-tolet-from-september,Rent,Family House Tolet From September ,4,3,1950,,,,,,Apartment,Residential,Yes,Yes,Dhaka,,"Others,Others,ত্রিমোহনী,ইমামবাগ জামে মসজিদের সাথে,ত্রিমোহনী ব্রিজের দ্বিতীয় কালভার্ট,বনশ্রী/ খিলগাঁও"
"North,15,267,Dhanmondi,Dhaka,North,15,267,Dhanmondi,Dhaka,Sukrabad",Family house with tiles finishing & secured.,1700000,https://www.thetolet.com/en/dhaka/dhanmondi/6717/family-house-tolet-from-october,Rent,Family House Tolet From October ,2,2,8001000,,,,,,Apartment,Residential,Yes,Yes,Dhaka,Dhanmondi,"North,15,267,North,15,267,Sukrabad"
"Nawabganj Sadar,Nawabganj,Nawabganj Sadar,Nawabganj,ঠিকানাঃসদর হাসপাতাল মোড়,ম্যাক্স হসপিটালের পেছনে।","?House for rent, •Flat 1: Two rooms, one kitchen, one toilet, one dining, (Rent 4500/=, all inclusive, no extra charges), 2nd floor., , •Flat 2 : One big room, one kitchen, One toilet, (rent 3500/=, all inclusive, no extra charges), ground floor. , , B.Own Water System, Garage A Facility with Dirt, Full Tiles. , thank you",0,https://www.thetolet.com/en/nawabganj/nawabganj-sadar/6719/family-house-tolet-from-october,Rent,Family House Tolet From October ,1,2,0,,,,,,Apartment,Residential,,,,,"Nawabganj Sadar,Nawabganj,Nawabganj Sadar,Nawabganj,ঠিকানাঃসদর হাসপাতাল মোড়,ম্যাক্স হসপিটালের পেছনে।"
"Mirpur,Dhaka,Mirpur,Dhaka,৫ নাম্বার রোড,বাসা নাম্বার ৪৭","5th Road, House No. 47, 4th Floor, Dakshin Bishil, Mirpur 1, next October. Two seats will be rented in one room of Atast bathroom. All the time the light and air in the room come and go. (Bachelor, student or employee), accommodation + food = 2000 + 3000 = 5000 Tk. , stay only 2000 taka.",0,https://www.thetolet.com/en/dhaka/mirpur/6720/bachelor-house-tolet-from-october,Rent,Bachelor House Tolet From October ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,Mirpur,"৫ নাম্বার রোড,বাসা নাম্বার ৪৭"
"Dhanmondi,Dhaka,Dhanmondi,Dhaka,পশ্চিম রাজা বাজার","A room for 3 persons will be rented from September (attest bathroom)., Room rent including gas bill, water bill - Tk. 9000., [Advance 50% discount will be given], Khawa Mill system., Location : Paschim Raja Bazar.",900000,https://www.thetolet.com/en/dhaka/dhanmondi/6721/bachelor-house-tolet-from-october,Rent,Bachelor House Tolet From October ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,Dhanmondi,পশ্চিম রাজা বাজার
"Farmgate,Dhaka,Farmgate,Dhaka,Farmgate","TO-LET"" For Male, 1 large master bedroom for rent in modern flat house from 1st-Oct-22. 16.5 x 12.5 ft., Job seekers will get priority. Can accommodate 3,4 people.",0,https://www.thetolet.com/en/dhaka/farmgate/6722/bachelor-house-tolet-from-october,Rent,Bachelor House Tolet From October ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,,"Farmgate,Farmgate,Farmgate"
"Mymensingh Sadar,Mymensingh,Mymensingh Sadar,Mymensingh,১৫৩/২/২,মাসকান্দা গনসাড় মোর","House for rent.(from September), 2 bedrooms, 1 dining room, 1 drawing room, 1 attached bathroom and 1 common bathroom, 1 kitchen, 1 balcony. --153/2/2,Maskanda Gansad Mor., Preference for working families.(Rent will be given if Bachelor student/girl wants), **Rent is negotiable.",0,https://www.thetolet.com/en/mymensingh/mymensingh-sadar/6724/family-house-tolet-from-september,Rent,Family House Tolet From September ,2,2,0,,,,,,Apartment,Residential,,,,,"Mymensingh Sadar,Mymensingh,Mymensingh Sadar,Mymensingh,১৫৩/২/২,মাসকান্দা গনসাড় মোর"
"Mymensingh Sadar,Mymensingh,Mymensingh Sadar,Mymensingh,106 /11 No Kalibari Road,Patgodam","# House_to_be_rented. For families only. 3rd floor. , HOUSE DETAILS:, ★★3 ROOM HOUSE.,★2 BED ROOMS.,★1 BIG DRAWING, DINING.,★1 BATHROOM.,★2 BALCONIES.,★GAS-CYLINDERS., HOUSE RENT - Tk.8000 , Address: 106 /11 no Kalibari Road, Patgodam, Mymensingh.",800000,https://www.thetolet.com/en/mymensingh/mymensingh-sadar/6725/family-house-tolet-from-october,Rent,Family House Tolet From October ,1,2,0,,,,,,Apartment,Residential,,,,,"Mymensingh Sadar,Mymensingh,Mymensingh Sadar,Mymensingh,106 /11 No Kalibari Road,Patgodam"
