details,fire-exit-amenity,electricity-backup-amenity,gym-amenity,elevators-in-building-amenity,flooring-amenity,parking-spaces-amenity,price,building_nature,property_id,area,building_type,purpose,lawn-or-garden-amenity,swimming-pool-amenity,title,total_bathrooms,district,city,address,country
"3 bigha land will be sold in Ashulia, Savar. The land is surrounded by brick boundary walls and has all modern facilities including electricity, gas and sewerage line etc. The front road of the land is 25 feet wide. Interested buyers are requested to contact.",,No,,,,,60000000.0,Land,597,43200,Factory Land,Sale,,,3 Bigha Land Sale In Ashulia,,Ashulia, Dhaka, Savar,Bangladesh
"Land area 363 Soto (Full Square shape)
Land location: 23.970041,90.266324 
Placed in front of British American Tobacco Bangladesh & 200 miter distance between land and Bongo Mata Fojilatun Nessa Hospital and attach with  Nobinagar Chandra Highway.
Present condition as a firm house including full captured high boundary, various kind of old tree, small building and a pond.

Land will be sold including everything. 

Rs, cs, sa, ok BS not record yeat
Single owner",,No,,,,,1000000.0,Land,643,11,Industrial Plot,Sale,,,363 Sotok Land for sale,,Gazipur, Dhaka, Gazipur,Bangladesh
"5 katha's corner plot will be sale in Sector # 08, Purbachal New Town. The plot is located at the corner of 100 feet and 30 feet road & category government service. Fixed price, Only genuine buyers requested to contact.",,No,,,,,65000000.0,Land,674,5,Plot,Sale,,,Conner Plot Sale In Purbachal New Town,,Purbachal New Town, Dhaka,Purbachal Sector # 8,Bangladesh
"The property comprises of a 3000 square feet office building and 11500 square feet of open empty land. The office building is well-suited for business or commercial use, with spacious rooms and modern amenities. The asking rent for the office building is BDT 100.00 Sft. The empty land offers a range of possibilities for commercial ventures, such as a warehouse, a factory or even an open-air parking lot. The asking rent for the empty land is BDT 60.00 Sft. The location of the property is ideal for businesses, as it is situated in the heart of the bustling Tejgoan area, providing easy access to major transportation routes. The property is ideal for businesses looking to expand or relocate to a prime location in Dhaka.",,Partial,,,1,,0.0,Commercial,799,14400,Commercial Plot,Rent,,,"One bigha of land is available for rent in the bustling commercial area of Tejgoan, Dhaka.",4,Tejgaon, Dhaka,Tejgoan Industrial Area,Bangladesh
"5 Katha corner plot for sale in sector # 08, Road # 108 of RAJUK Purbachal New Town. The front road of theplot is 100 feet wide and category is Government Services. Only Genuine buyers will contact us",,No,,,1,,75000000.0,Land,654,5,Plot,Sale,,,Plot Sale In Purbachal New Town,,Purbachal New Town, Dhaka,Purbachal New Town,Bangladesh
"This elegant and spacious apartment spans 3000 square feet and is perfect for those seeking a sophisticated and comfortable living experience which is located in the prestigious area of Gulshan North. The four bedrooms offer a spacious and comfortable retreat, each featuring large windows, built-in closets, and their own private en-suite bathroom. The master bedroom is especially luxurious, featuring a walk-in closet and a lavish bathroom with modern fixtures, a glass-enclosed shower, and a large bathtub. Overall, this 3000 square feet luxurious 4 bed, 4 bath semi-furnished apartment is a rare gem in the heart of Gulshan North, offering the perfect combination of comfort, elegance, and convenience.",Yes,Full Backup,,Yes,5,1 ,180000.0,Residential,800,3000,Apartment,Rent,Yes,,3000 sft luxurious semi furnished apartment for rent in Gulshan North.,4,Gulshan, Dhaka,Gulshan North,Bangladesh
"Gulshan North Diplomatic Zone is a prestigious residential area located in the heart of Dhaka, the capital city of Bangladesh. It is known for its luxurious lifestyle, security, and serene environment. Recently, a 24.15 Katha land has become available for sale in this highly sought-after area. The land for sale is situated in a prime location within the Diplomatic Zone, making it an excellent investment opportunity for anyone seeking to build their dream home in this exclusive area. The area is also home to several international embassies and diplomatic missions, adding an extra layer of security and prestige to the neighborhood. Only genuine buyers requested to contact us.",,No,,,1,,0.0,Land,804,25,Plot,Rent,,,24.15 Katha land for sale in Gulshan North Diplomatic Zone,,Gulshan, Dhaka,Gulshan North,Bangladesh
"লোকেশনঃ মিরপুর মধ্য পিরেরবাগ ৬০ ফিট রাস্তার পাশে আলিম উদ্দিন স্কুল এর কাছে
জায়গা: ২.৯ কাঠা
৬ তলা বিল্ডিং
প্রতি ফ্লোরে ২ ইউনিট 
প্রতি ইউনিটে ২ বেড ১ ডাইনিং ১ ড্রয়িং ২ বাথরুম ১ বারান্দা ১ কিচেন
গ্যারেজ। 
১২ ফিট রাস্তা বাড়ীর সামনে
তিতাস গ্যাস, কারেন্ট, ওয়াসা পানির বৈধ লাইন আছে
প্রয়োজনীয় সকল কাগজ রেডি
মাসে লক্ষাধিক টাকা ভাড়া আসে 
Metro rail এবং ৬০ ফিট থেকে ৫ মিনিট হাটার দুরতব
দামঃ ৩.৫ কোটি টাকা 

যোগাযোগঃ ০১৯৩৮৫১৩৮১৬, ০১৬৭৪০৬৯৮৪৪",,,,,,1 ,35000000.0,Residential,686,3,Building,Sale,,,মিরপুর মধ্য পিরেরবাগে ২.৯ কাঠা এর উপর ৬ তলা বাড়ি বিক্রি,2,Shewrapara, Dhaka,মিরপুর মধ্য পিরেরবাগ ৬০ ফিট রাস্তার পাশে আলিম উদ্দিন স্কুল এর কাছে,Bangladesh
"গাজীপুর সদরে ধীরাশ্রারম, ভুঁইয়া বাড়ি নগর মাতৃসদনের পাশে ১২.৫০ কাঠা জমি জরুরি ভিত্তিতে বিক্রয় হবে। জমিটি গাজীপুর সিটি করপোরেশনের আওতাভুক্ত ৩১ নাম্বার ওয়ার্ডে অবস্থিত। জমি টি ৬০ ফিট রাস্তা থেকে সামান্য ভিতরে এবং জমির সামনের রাস্তা ২০ ফিট। শুধুমাত্র প্রকৃত ক্রেতাগন যোগাযোগ করার অনুরোধ করা হইল।",,No,,,1,,7500000.0,Land,683,12,High Land,Sale,,,গাজীপুরে ১২.৫০ কাঠা জমি বিক্রি হবে,,Gazipur, Dhaka, গাজীপুর সদর,Bangladesh
"8,000 sft luxurious triplex house for rent in Nikunja, Dhaka. Total 6 rooms with two bedrooms on each floor with attached bathrooms, balcony, large drawing cum dining area on two floor. There are two car parking on the ground floor, each bedroom and kitchen has teak woode built-in cabinet, basement, full load backup generator facilities also available. Any foreign company will be given rent for residence or office purpose. If you interested  to see the house, you must fix the time one day before.",,Full Backup,,,3,2 ,300000.0,Residential,749,8000,Building For Office,Rent,,,8000 sft Triplex House For Rent In NIkunja,7,Nikunja, Dhaka, Dhaka,Bangladesh
"Luxurious 4bedroom full furnished apartment for rent in Uttara for short or long term basis. Three thousand square feet with four bed rooms, four bathrooms, large drawing & dining area, kitchen, mudroom with toilet, lift, generator, 1 car parking etc.",Yes,Partial,,Yes,6,1 ,110000.0,Residential,738,3000,Furnished,Rent,Yes,,Luxurious 4 Bedroom Furnished Apartment For Rent in Uttara,4,Uttara, Dhaka, Dhaka,Bangladesh
"Our serviced apartment is fully decorated with modern amenities. You can take it as a Short-term or Long-term basis for your vacation rental. All  the facilities are available like TV, geyser, refrigerator, WiFi, microwave, and air conditioning, laundry services etc.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
Website: https://www.hotels.com.bd/rental/apartment-furnished
YouTube: https://www.youtube.com/watch?v=8kJKBg9LRkM&t=2s
.
Contact For Booking:
+88 01712553547
+88 01921096846",,Full Backup,,Yes,4,1 ,55000.0,Residential,759,875,Service Apartment,Rent,,,Two Bedroom Serviced Apartment Rent In Bashundhara R/A,2,Bashundhara Residential Area, Dhaka, Bashundhara R/A,Bangladesh
"This property is a 22,000 square foot plot of land available for rent in the industrial area of Tongi, Gazipur, Bangladesh. The owner of the land is willing to build a shed or building according to the specific requirements of the tenant. This makes the property a great option for those looking to establish a factory or warehouse in the area. Tongi is a bustling industrial hub in the Gazipur district, located in close proximity to the capital city of Dhaka. The owner is open to negotiating the terms of the lease, including the length of the agreement and any additional amenities that may be required.  With the option to customize the building to their specific needs, tenants can rest assured that their new space will be tailored to their exact requirements.",,No,,,1,,770000.0,Land,766,22000,Factory Land,Rent,,,"22000 sft industrial plot will be rent for factory or warehouse in Tongi, Gazipur",,Tongi, Dhaka, Gazipur,Bangladesh
"16,000 Square Foot commercial warehouse for rent
Semi Ready warehouse ready for rent under construction
Height 23feet from the ground
Space for moving 40 feet lorry truck
Easy access to main road
Local amenities like hospital, grocery, photocopy shops all beside
Price 28tk per sq ft(negotiable)
AS Mridha Commercial Complex
20min Drive from Banani and Gulshan
Singhair Road, Toll Plaza, Dholla Bridge, Tetoljhora, Hemayetpur, Savar, Dhaka
Google Map Location- Q7X2+PWC
contact- 01765667743",Yes,,,,1,5 ,28.0,Commercial,762,16000,Warehouse,Rent,,,"16000 sq ft Industrial warehouse ready for rent at Hemayetpur, Savar, Dhaka",3,Banani, Dhaka, Savar,Bangladesh
"This commercial floor for rent is located on the third floor of a 13-storied building in Gulshan, Dhaka, making it an ideal location for businesses looking for a prominent and accessible address. The floor boasts a spacious 7400 square feet of usable space, providing ample room for offices, retail outlets, or other commercial uses. The building is designed specifically for commercial use and comes equipped with features such as dedicated entrances, elevators, 100% backup generator and security systems to ensure the safety and comfort of tenants and their clients. Located in the heart of Gulshan, this location enjoys easy access to major transportation hubs, as well as a variety of shops, restaurants, and other amenities. It presents a great opportunity for businesses looking to establish a presence in one of Dhaka's most vibrant commercial areas.",Yes,Full Backup,,Yes,3,3 ,140.0,Commercial,752,7400,Office,Rent,Yes,,"Spacious 7400 sqft Commercial Floor for Rent in Gulshan, Dhaka",6,Gulshan Avenue, Dhaka,Gulshan Avenue,Bangladesh
"This newly constructed office floor, spanning over an impressive 4000 square feet, is situated on the 17th floor of a top-rated compliance building. The building is designed to meet international standards, providing a secure, safe, and comfortable working environment for its tenants. The building is equipped with all the essential facilities such as high-speed elevators, fire exits, 2 car parking in the basement, standby generators, and 24-hour security and surveillance systems to ensure maximum convenience and security for its tenants.",Yes,Full Backup,,Yes,18,2 ,140.0,Commercial,769,4000,Floor,Rent,Yes,,Brand New 4000 sft office for rent in Gulshan,3,Gulshan, Dhaka,Gulshan One,Bangladesh
