amenities,area,building_type,commercial_type,location,num_bath_rooms,num_bed_rooms,page,price,property_description,property_overview,property_url,purpose
"Air-Condition Provision,Cable TV Provision,Dry Kitchen,Electricity Supply,Emergency Exit,Fire Extinguisher,Generator,Intercom,Lift,Parking,Tiled Floor",1580 sft,Residential,,"Mohammadpur, Dhaka",4,4,,20000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a   area  it will definitely make home ownership a joyful experience for you. This   apartment is located in Mohammadpur. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the four modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1580-sft-apartment-for-sale-in-mohammadpur-13th-floor/,For Sale
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Emergency Exit,Fire Extinguisher,Gas Supply,Generator,Lift,Parking,Tiled Floor",1873 sft,Residential,,"Mohammadpur, Dhaka",4,,,29000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1873 sft area  it will definitely make home ownership a joyful experience for you. This is an Open bedroom  4 Bathrooms apartment is located in Mohammadpur. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the two modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1873-sft-apartment-for-sale-in-mohammadpur-flat-c2/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Emergency Exit,Gas Supply,Lift,Parking,Tiled Floor",1680 sft,Residential,,"Shyamoli, Dhaka",3,3,,17200000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1680 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedrooms  3 Bathrooms and 3 balcony apartment is located in Shyamoli. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the two modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1680-sft-apartment-for-sale-in-shyamoli-1st-floor/,For Sale
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Emergency Exit,Fire Extinguisher,Gas Supply,Generator,Lift,Parking,Tiled Floor",1883 sft,Residential,,"Mohammadpur, Dhaka",4,,,30000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1883 sft area  it will definitely make home ownership a joyful experience for you. This is an Open bedroom  4 Bathrooms apartment is located in Mohammadpur. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the two modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1883-sft-apartment-for-sale-in-mohammadpur-flat-d2/,For Sale
"Air-Condition Provision,Electricity Supply,Emergency Exit,Fire Extinguisher,Generator,Lift,Parking,Tiled Floor",2043 sft,Commercial,,"Dhanmondi, Dhaka",0,,,52000000,If you are looking to purchase a commercial space for your business in one of the iconic commercial areas of Dhaka  Dhanmondi then we have the perfect space for you. This space is sized 2043 sqft. The building is equipped with all the modern commercial amenities such as a lift  escalator  industrial generator backup  etc. The building is situated in an area where it has access to thousands of people every day  making it a perfect place to set up your business. If you want to know more details  please call us at 16604.,,https://btibrokeragebd.com/property/2043-sft-commercial-space-for-sale-in-dhanmondi-11th-floor/,For Sale
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Emergency Exit,Fire Extinguisher,Gas Supply,Generator,Lift,Parking,Tiled Floor",1005 sft,Residential,,"Dhanmondi, Dhaka",3,3,,11700000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1005 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedroom  2 Bathrooms  and 2 balconies apartment are located at Dhanmondi. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the four modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants  etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1005-sft-apartment-for-sale-in-dhanmondi-1st-floor/,For Sale
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Emergency Exit,Fire Extinguisher,Gas Supply,Generator,Lift,Tiled Floor",960 sft,Residential,,"Uttarkhan, Dhaka",2,2,,5750000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 960 sft area  it will definitely make home ownership a joyful experience for you. This 2 bedrooms  2 bathrooms and 2 balcony apartment is located in Uttarkhan  Uttara. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/960-sft-apartment-for-sale-in-uttarkhan-flat-q6/,For Sale
"Air-Condition Provision,Cable TV Provision,Dry Kitchen,Electricity Supply,Emergency Exit,Fire Extinguisher,Generator,Intercom,Lift,Parking,Reception Desk & Lobby,Tiled Floor",1000 sft,Residential,,"Uttara, Dhaka",3,3,,7500000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a   area  it will definitely make home ownership a joyful experience for you. This   apartment is located in     . All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1000-sft-apartment-for-sale-in-uttara-flat-5a/,For Sale
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Emergency Exit,Fire Extinguisher,Generator,Lift,Parking,Tiled Floor",1312 sft,Residential,,"Dhanmondi, Dhaka",2,3,,15000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1312 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedroom  2 Bathrooms  and 3 balconies apartment are located at Dhanmondi. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the four modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants  etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1312-sft-apartment-for-sale-in-dhanmondi-11th-floor/,For Sale
"Air-Condition Provision,Electricity Supply,Emergency Exit,Fire Extinguisher,Gas Supply,Generator,Parking,Tiled Floor",1414 sft,Commercial,,"Panthapath, Dhaka",0,,,18500000,If you are looking to purchase a commercial space for your business in one of the iconic commercial areas of Dhaka  West Panthapath then we have the perfect space for you. This space is sized 1414 sqft. The building is equipped with all the modern commercial amenities such as a lift  escalator  industrial generator backup  etc. The building is situated in an area where it has access to thousands of people every day  making it a perfect place to set up your business. If you want to know more details  please call us at 16604.,,https://btibrokeragebd.com/property/1414-sft-commercial-space-for-sale-in-west-panthapath-1st-floor/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Gas Supply,Lift,Parking,Tiled Floor",2448 sft,Residential,,"Mohammadpur, Dhaka",4,3,,34000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 2448 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedrooms  4 Bathrooms and 3 balconies apartment is located in Mohammadpur. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/2448-sft-apartment-for-sale-in-mohammadpur-6th-floor/,For Sale
"Cable TV Provision,Electricity Supply,Emergency Exit,Fire Extinguisher,Tiled Floor",1850 sft,Residential,,"Bashundhara, Dhaka",4,4,,14275000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1850 sft area  it will definitely make home ownership a joyful experience for you. This 4 bedrooms  4 Bathrooms and 3 balcony apartment is located in Bashundhara. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1850-sft-apartment-for-sale-in-bashundhara-1st-floor/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Gas Supply,Generator,Lift,Parking,Tiled Floor",2700 sft,Residential,,"Banani, Dhaka",5,4,,43000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 2700 sft area  it will definitely make home ownership a joyful experience for you. This 4 bedrooms  5 bathrooms and 1 balcony apartment is located in Banani. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the five modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/2700-sft-apartment-for-sale-in-banani-flat-b-4/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Gas Supply,Generator,Lift,Parking,Tiled Floor",1137 sft,Residential,,"Lalmatia, Dhaka",4,3,,11500000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1137 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedrooms  4 Bathrooms and 1 balcony apartment is located in Lalmatia. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the four modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1137-sft-apartment-for-sale-in-lalmatia-flat-a6/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Gas Supply,Generator,Lift,Parking,Tiled Floor",1611 sft,Residential,,"Banani, Dhaka",0,3,,18500000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1611 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedrooms apartment is located in Banani. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1611-sft-apartment-for-sale-in-banani-flat-b-2/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Gas Supply,Generator,Lift,Parking,Tiled Floor",2580 sft,Residential,,"Baridhara, Dhaka",0,4,,30000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 2580 sft area  it will definitely make home ownership a joyful experience for you. This 4 bedrooms apartment is located in Baridhara DOHS. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/2580-sft-apartment-for-sale-in-baridhara-dohs-3rd-floor/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Generator,Lift,Parking,Tiled Floor",1400 sft,Residential,,"Bashundhara, Dhaka",3,3,,10000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1400 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedrooms  3 bathrooms and 1 balcony apartment is located in Bashundhara. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1400-sft-apartment-for-sale-in-bashundhara-2nd-floor/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Generator,Lift,Parking,Tiled Floor",2100 sft,Residential,,"Bashundhara, Dhaka",5,4,,23000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 2100 sft area  it will definitely make home ownership a joyful experience for you. This 4 bedrooms  5 Bathrooms and 3 balcony apartment is located in Bashundhara. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the five modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/2100-sft-apartment-for-sale-in-bashundhara-3rd-floor/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Gas Supply,Generator,Lift,Parking,Tiled Floor",1137 sft,Residential,,"Lalmatia, Dhaka",4,3,,11500000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1137 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedrooms  4 Bathrooms and 1 balcony apartment is located in Lalmatia. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the four modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1137-sft-apartment-for-sale-in-lalmatia-flat-b6/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Gas Supply,Generator,Lift,Parking,Tiled Floor",2260 sft,Residential,,"Gulshan, Dhaka",5,3,,34000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 2260 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedrooms  5 bathrooms and 3 balcony apartment is located in Gulshan 2. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the five modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/2260-sft-apartment-for-sale-in-gulshan-flat-b3/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Generator,Lift,Parking,Tiled Floor",1545 sft,Residential,,"Baridhara, Dhaka",3,3,,13500000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1545 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedrooms  3 Bathrooms and 2 balcony apartment is located in Baridhara. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1545-sft-apartment-for-sale-in-baridhara-2nd-floor/,For Sale
"Fire Extinguisher,Generator,Lift",8500 sft,Commercial,,"Tejgaon, Dhaka",0,,,1275000PerMonth,If you are looking for a commercial space for rent in one of the most upscale locations in Dhaka then you may take a look at this space at Tejgaon. It is offering spaces ready for rent on the 17th floor. The layout is open  functional  spacious and well ventilated. This commercial space provides 8500 sft and has expected monthly rent. The building also comes with amenities like security  fire protection system and adequate parking spaces to cater to the modern commercial space requirements. To know more details  contact us at your earliest!,,https://btibrokeragebd.com/property/8500-sft-commercial-space-for-rent-in-tejgaon-17th-floor/,For Rent
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Gas Supply,Generator,Lift,Parking,Tiled Floor",2131 sft,Residential,,"Banani, Dhaka",0,3,,29200000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 2131 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedrooms apartment is located in Banani. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/2131-sft-apartment-for-sale-in-banani-flat-a-10/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Gas Supply,Generator,Lift,Parking,Tiled Floor",2600 sft,Residential,,"Gulshan, Dhaka",5,4,,44000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 2600 sft area  it will definitely make home ownership a joyful experience for you. This 4 bedrooms  5 bathrooms and 4 balcony apartment is located in Gulshan. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the five modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/2600-sft-apartment-for-sale-in-gulshan-2nd-floor/,For Sale
"Fire Extinguisher,Generator,Lift",8500 sft,Commercial,,"Tejgaon, Dhaka",0,,,1275000PerMonth,If you are looking for a commercial space for rent in one of the most upscale locations in Dhaka then you may take a look at this space at Tejgaon. It is offering spaces ready for rent on the 16th floor. The layout is open  functional  spacious and well ventilated. This commercial space provides 8500 sft and has expected monthly rent. The building also comes with amenities like security  fire protection system and adequate parking spaces to cater to the modern commercial space requirements. To know more details  contact us at your earliest!,,https://btibrokeragebd.com/property/8500-sft-commercial-space-for-rent-in-tejgaon-16th-floor/,For Rent
"Cable TV Provision,Electricity Supply,Emergency Exit,Fire Extinguisher,Gas Supply,Generator,Lift,Parking",2500 sft,Residential,,"Cantonment, Dhaka",2,3,,60000PerMonth,Looking for an exclusive home to live in? We have an exclusive apartment in the one of the most prominent locations in Dhaka  Gulshan   the availability of all kinds of facilities is abundant. The 3 bedrooms and 2 bathrooms span over the 2500 sft apartment made for those who have a sophisticated taste. The location is perfect for relaxing in serenity. If you are looking for a flat for rent in Gulshan  call us at 16604.,,https://btibrokeragebd.com/property/2500-sft-apartment-for-rent-in-cantonment-ground-floor/,For Rent
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Gas Supply,Lift,Parking,Tiled Floor",1980 sft,Residential,,"Lalmatia, Dhaka",3,3,,300000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1980 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedrooms  3 Bathrooms and 3 balcony apartment is located in Lalmatia. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1980-sft-apartment-for-sale-in-lalmatia-flat-a-4/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Gas Supply,Lift,Parking,Tiled Floor",1775 sft,Residential,,"Kalabagan, Dhaka",4,3,,22200000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1775 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedrooms  4 Bathrooms and 5 balcony apartment is located in Kalabagan. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the four modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1775-sft-apartment-for-sale-in-kalabagan-flat-a-8/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Generator,Lift,Parking,Tiled Floor",2162 sft,Residential,,"Bashundhara, Dhaka",4,3,,16000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 2162 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedrooms  4 Bathrooms and 3 balcony apartment is located in Bashundhara. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the four modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/2162-sft-apartment-for-sale-in-bashundhara-8th-floor/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Gas Supply,Lift,Parking,Tiled Floor",1350 sft,Residential,,"Lalmatia, Dhaka",3,3,,14500000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1350 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedrooms  3 Bathrooms and 3 balcony apartment is located in Lalmatia. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1350-sft-apartment-for-sale-in-lalmatia-flat-1-b/,For Sale
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Fire Extinguisher,Parking,Tiled Floor",2600 sft,Residential,,"Cantonment, Dhaka",3,4,,13000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 2600 sft area  it will definitely make home ownership a joyful experience for you. This 4 bedrooms  3 Bathrooms and 3 balcony apartment is located in Dhaka Cantonment. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the two modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/2600-sft-apartment-for-sale-in-cantonment-9th-floor/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Gas Supply,Lift,Parking,Tiled Floor",1590 sft,Residential,,"Lalmatia, Dhaka",3,3,,21500000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1590 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedrooms  3 Bathrooms and 3 balcony apartment is located in Lalmatia. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1590-sft-apartment-for-sale-in-lalmatia-flat-3b/,For Sale
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Emergency Exit,Fire Extinguisher,Gas Supply,Generator,Lift,Tiled Floor",2512 sft,Residential,,"Green Road, Dhaka",3,3,,29000000,,,https://btibrokeragebd.com/property/2512-sft-apartment-for-sale-in-green-road-3rd-floor/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Generator,Lift,Parking,Tiled Floor",2120 sft,Residential,,"Bashundhara, Dhaka",3,4,,18000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 2120 sft area  it will definitely make home ownership a joyful experience for you. This 4 bedrooms  3 Bathrooms and 2 balcony apartment is located in Bashundhara. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/2120-sft-apartment-for-sale-in-bashundhara-7th-floor/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Gas Supply,Generator,Lift,Parking,Tiled Floor",1750 sft,Residential,,"New Eskaton, Dhaka",4,3,,19000000,Looking for an exclusive home to live in? We have an exclusive apartment in one of the most prominent locations in Dhaka  New Eskaton  and the availability of all kinds of facilities is abundant. The 3 bedrooms and 4 bathrooms and 2 balconies spanning over the 1750 sft apartment are made for those who have sophisticated taste. The location is perfect for relaxing in serenity. If you want to know more details  please call us at 16604.,,https://btibrokeragebd.com/property/1750-sft-apartment-for-sale-in-new-eskaton-1st-floor/,For Sale
