Property_name,Property_Type,Bedrooms,bathrooms,Garages,Sq_Ft,year_built,AD URL,features
EDISON CORDELIA,,N/A,N/A,1,2210 &amp; 2575 SQFT,2026,https://bestbari.com/flat-sale-dhaka/edison-cordelia/,"Garage,Parking,Security Surveillance System,Generator Backup,24/7 CCTV Surveillance,Guard Accommodation,Reception,Lobby Lounge"
Assurance Lierre,Apartment,4,4,1,2800,,https://bestbari.com/flat-sale-dhaka/assurance-lierre/,"Garage,Parking,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Security Room,Guard Accommodation,Reception,Lobby Lounge"
EDISON DESDEMONA,,N/A,N/A,1,"2755 sqft – 3450 sqft (Appx), Penthouse: 5705 sqft – 6350 sqft (Appx)",2017,https://bestbari.com/flat-sale-dhaka/edison-desdemona/,"Garage,Common Area,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Security Room,Fire Protection,Guard Accommodation,Reception,Lobby Lounge"
Brand New Ready Apartment at Uttara #5,Apartment,3,3,1,1700,,https://bestbari.com/flat-sale-dhaka/brand-new-ready-apartment-at-uttara-5/,"Garage,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Security Room,Guard Accommodation"
Brand New Apartment at Bou Bazar,,3,3,1,1480sft,Ongoing,https://bestbari.com/flat-sale-dhaka/brand-new-apartment-at-bou-bazar/,"Garage,Generator Backup,Reception,Lobby Lounge"
Sky Heights,,2,2,1, 12 Katha,,https://bestbari.com/flat-sale-dhaka/sky-heights/,"Garage,24/7 CCTV Surveillance,Security Room,Guard Accommodation"
Marc Chondroprobha,Apartment,4,4,1,2350,,https://bestbari.com/flat-sale-dhaka/marc-chondroprobha/,"Garage,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Community Space,Guard Accommodation,Reception,Lobby Lounge"
Shanta Chandralok - type A,,3,3,1,"2,200 - 2,350 sft (approx)",,https://bestbari.com/flat-sale-dhaka/shanta-chandralok-type-a/,"Garage,Common Area,Multi Level Basement Car Parking,Parking,Landscaping,Security Surveillance System,International Standard Lift,24/7 CCTV Surveillance,Multipurpose Room for Prayer and Meeting,Waiting Lobby,Gym,BBQ Area,Security Room,Community Space,Fitness Center,Guard Accommodation,Lighting and Water Feature,Reception,Lobby Lounge"
Z SQUARE,Commercial,,,1,3700,2019,https://bestbari.com/flat-sale-dhaka/z-square/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Double Glazed Glass Window,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Multipurpose Room for Prayer and Meeting,Security Room,Fire Protection,Guard Accommodation,VRF Air Conditioning,Lobby Lounge,High-speed internet"
NAVANA OSMAN LINK,Commercial,,,1,,,https://bestbari.com/flat-sale-dhaka/navana-osman-link/,"Garage,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Security Room,Fire Protection,Guard Accommodation"
A & F SQUARE,Commercial,,,1,,,https://bestbari.com/flat-sale-dhaka/a-f-square/,"Garage,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Guard Accommodation,Rainwater Harvesting,Reception"
Shanta Chandralok - type B,,3,3,1,2350sft,,https://bestbari.com/flat-sale-dhaka/shanta-chandralok-type-b/,"Garage,Common Area,Multi Level Basement Car Parking,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Multipurpose Room for Prayer and Meeting,Exercise Studio,Gym,BBQ Area,Security Room,Community Space,Fire Protection,Guard Accommodation,Lighting and Water Feature,Reception,Lobby Lounge"
NAVANA MASHIRA,Commercial,,,,,,https://bestbari.com/flat-sale-dhaka/navana-mashira/,"Garage,Multi Level Basement Car Parking,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Guard Accommodation"
NAVANA PRISTINE PAVILION,Commercial,,,1,,,https://bestbari.com/flat-sale-dhaka/navana-pristine-pavilion/,"Garage,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Reception,High-speed internet"
NAVANA NASRIN CASABELLA,Commercial,,,1,,,https://bestbari.com/flat-sale-dhaka/navana-nasrin-casabella/,"Air Conditioning,Garage,Double Glazed Glass Window,Multi Level Basement Car Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Reception,VRF Air Conditioning,High-speed internet"
NAVANA RAHIM ARDENT,Commercial,,,1,,,https://bestbari.com/flat-sale-dhaka/navana-rahim-ardent/,"Air Conditioning,Garage,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Fire Protection,Guard Accommodation"
NAVANA ROWSHAN SYED PLAZA,Commercial,,,1,,,https://bestbari.com/flat-sale-dhaka/navana-rowshan-syed-plaza/,"Air Conditioning,Garage,Multi Level Basement Car Parking,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Fire Protection,Guard Accommodation"
NAVANA OBAID ETERINA,Commercial,,,1,,,https://bestbari.com/flat-sale-dhaka/navana-obaid-eterina/,"Air Conditioning,Garage,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Fire Protection,Guard Accommodation"
RK SQUARE,Commercial,,,,4000,,https://bestbari.com/flat-sale-dhaka/rk-square/,"Air Conditioning,Garage,Double Glazed Glass Window,Multi Level Basement Car Parking,Parking,Security Surveillance System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Fire Protection,Guard Accommodation,Reception,VRF Air Conditioning,High-speed internet"
House @ Banani,House,8,8,3,5 KX4F,2020,https://bestbari.com/flat-sale-dhaka/house-banani/,"Parking,Landscaping,Waiting Lobby,BBQ Area,Security Room,Children Play Area,Cloth Drying Area,Indoor Games,Prayer Space,Reception"
Duplex at Gulshan,Used Flat,4,5,1,3240,2000,https://bestbari.com/flat-sale-dhaka/duplex-at-gulshan/,"Common Area,Parking,Security Surveillance System,Generator Backup,24/7 CCTV Surveillance,Waiting Lobby,Security Room,Children Play Area,Cloth Drying Area,Fire Protection,Reception"
Duplex at Gulshan,House,5,6,2,8500,2017,https://bestbari.com/flat-sale-dhaka/duplex-at-gulshan-2/,"Air Conditioning,Full Load Power Backup,Interior Designed Lobbies,Double Glazed Glass Window,Multi Level Basement Car Parking,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Generator Backup,Rooftop Landscaping,Waiting Room,Exercise Studio,Gym,BBQ Area,Security Room,Children Play Area,Cloth Drying Area,Guard Accommodation,Guard Post,Reception,Smart Home Feature,WIFI,Lobby Lounge"
Ventura Ornella,Apartment,,,1,2200-4000,,https://bestbari.com/flat-sale-dhaka/ventura-ornella/,"Garage,Garden,Interior Designed Lobbies,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,Swimming Pool,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,BBQ Area,Community Space,Fitness Center,Guard Accommodation,Lighting and Water Feature,Lobby Lounge"
Ventura Valencia,"Apartment, Used Flat",,,1,1600-3500,,https://bestbari.com/flat-sale-dhaka/ventura-valencia/,"Air Conditioning,Garage,Interior Designed Lobbies,Multi Level Basement Car Parking,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,BBQ Area,Security Room,Community Space,Fire Protection,Fitness Center,Guard Accommodation,Lighting and Water Feature,Lobby Lounge"
Ventura Devante,Apartment,,,1,2500-4000,2013,https://bestbari.com/flat-sale-dhaka/ventura-devante/,"Garage,Garden,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Community Space,Fitness Center,Guard Accommodation,Lobby Lounge"
Ventura Norina,"Apartment, Used Flat",,,1,2500-4000,2012,https://bestbari.com/flat-sale-dhaka/ventura-norina/,"Garage,Garden,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Security Room,Community Space,Lobby Lounge"
Ventura Perla,Apartment,,,1,2500-4000,2013,https://bestbari.com/flat-sale-dhaka/ventura-perla/,"Garage,Garden,Interior Designed Lobbies,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,24/7 CCTV Surveillance,Rooftop Landscaping,Waiting Room,Children Play Area,Community Space,Guard Accommodation"
Ventura Reina,Apartment,,,1,,2014,https://bestbari.com/flat-sale-dhaka/ventura-reina/,"Garage,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Guard Accommodation,Guard Post"
Ventura Oriana,Apartment,,,1,,2015,https://bestbari.com/flat-sale-dhaka/ventura-oriana/,"Garage,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Security Room,Guard Accommodation"
Ventura Encarna,Apartment,,,,,2016,https://bestbari.com/flat-sale-dhaka/ventura-encarna/,"Air Conditioning,Garage,Parking,Generator Backup,24/7 CCTV Surveillance,Security Room,Fire Protection,Guard Accommodation"
Ventura Venus,Apartment,,,1,,2017,https://bestbari.com/flat-sale-dhaka/ventura-venus/,"Air Conditioning,Garage,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Fire Protection,Guard Accommodation"
Ventura Himanee,Apartment,,,1,,2017,https://bestbari.com/flat-sale-dhaka/ventura-himanee/,"Garage,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Security Room,Guard Accommodation"
Suvastu Shaptarshi,Apartment,4,4,2,2900,,https://bestbari.com/flat-sale-dhaka/suvastu-shaptarshi/,"Garage,Parking,Security Surveillance System,Generator Backup,24/7 CCTV Surveillance"
Ventura Riviera,Apartment,,,1,,2017,https://bestbari.com/flat-sale-dhaka/ventura-riviera/,"Garage,Multi Level Basement Car Parking,Parking,Security Surveillance System,24/7 CCTV Surveillance,Fire Protection,Guard Accommodation"
Concord Sohel Square,Commercial,10,4,1,3840,2021,https://bestbari.com/flat-sale-dhaka/concord-sohel-square/,"Air Conditioning,Full Load Power Backup,Interior Designed Lobbies,Common Area,Double Glazed Glass Window,Multi Level Basement Car Parking,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Fire Protection,Guard Post,Reception,Lobby Lounge"
Navana Oval,Commercial,C,4,1,2900,2020,https://bestbari.com/flat-sale-dhaka/navana-oval/,"Garage,Full Load Power Backup,Interior Designed Lobbies,Multi Level Basement Car Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Waiting Lobby,Prayer Space,Reception"
Concord Chowdhury Villa,"Apartment, Commercial",4,4,1,2400,2021,https://bestbari.com/flat-sale-dhaka/concord-chowdhury-villa/,"Air Conditioning,Corner Plot,Full Load Power Backup,Interior Designed Lobbies,Common Area,Double Glazed Glass Window,Multi Level Basement Car Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Multipurpose Room for Prayer and Meeting,Gym,Security Room,Community Space,Fire Protection,Guard Post,Reception,Lobby Lounge"
Sheltech Northern Star,Commercial,3,3,1,2454,2022,https://bestbari.com/flat-sale-dhaka/sheltech-northern-star/,"Air Conditioning,Full Load Power Backup,Double Glazed Glass Window,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Stretcher Lift,Generator Backup,24/7 CCTV Surveillance,Waiting Lobby,Fire Protection,Guard Post,Reception,Lobby Lounge"
RD SQUARE,Commercial,,,,"1,47,952",,https://bestbari.com/flat-sale-dhaka/rd-square/,"Parking,Landscaping,Security Surveillance System,24/7 CCTV Surveillance,Security Room,Fire Protection,Guard Accommodation,Guard Post,Rainwater Harvesting,Reception,VRF Air Conditioning"
AK SQUARE,Commercial,,,1,,,https://bestbari.com/flat-sale-dhaka/ak-square/,"Air Conditioning,Garage,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,24/7 CCTV Surveillance,Waiting Lobby,Security Room,Guard Accommodation,Rainwater Harvesting,Reception"
RL SQUARE,Commercial,,,1,,,https://bestbari.com/flat-sale-dhaka/rl-square/,"Garage,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Security Room,Fire Protection,Fitness Center,Rainwater Harvesting,Reception"
EMINENCE,Commercial,,,1,,,https://bestbari.com/flat-sale-dhaka/eminence/,"Garage,Corner Plot,Full Load Power Backup,Double Glazed Glass Window,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Security Room,Guard Accommodation,Rainwater Harvesting,Reception,VRF Air Conditioning"
Navana GH Heights,Commercial,,,1,,,https://bestbari.com/flat-sale-dhaka/navana-gh-heights/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Parking,Security Surveillance System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Waiting Lobby,Security Room,Fire Protection,Fitness Center,Guard Accommodation,Guard Post"
Assure Zohora Square,Commercial,,,1,,,https://bestbari.com/flat-sale-dhaka/assure-zohora-square/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Double Glazed Glass Window,Parking,Security Surveillance System,Fire Fighting and Detection System,24/7 CCTV Surveillance,Security Room,Guard Accommodation,WIFI"
Navana Tower,Commercial,,,1,,2002,https://bestbari.com/flat-sale-dhaka/navana-tower/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Multipurpose Room for Prayer and Meeting,Fire Protection,Fitness Center,Guard Accommodation,Guard Post"
NAVANA FS COSMO,Commercial,,,1,,,https://bestbari.com/flat-sale-dhaka/navana-fs-cosmo/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Double Glazed Glass Window,Multi Level Basement Car Parking,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Fire Protection,Guard Accommodation,Reception"
NAVANA F H SOLARIS,Commercial,,,1,,,https://bestbari.com/flat-sale-dhaka/navana-f-h-solaris/,"Air Conditioning,Garage,Full Load Power Backup,Parking,Security Surveillance System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Security Room,Guard Accommodation"
PINNACLE,Commercial,,,5,,,https://bestbari.com/flat-sale-dhaka/pinnacle/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Double Glazed Glass Window,Multi Level Basement Car Parking,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Multipurpose Room for Prayer and Meeting,Gym,Security Room,Driver Waiting,Fire Protection,Fitness Center,Guard Accommodation,Guard Post,Prayer Space,Rainwater Harvesting,Reception,WIFI,Lobby Lounge,High-speed internet"
VIRTUE,Commercial,,,1,,,https://bestbari.com/flat-sale-dhaka/virtue/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Double Glazed Glass Window,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Multipurpose Room for Prayer and Meeting,Waiting Room,Waiting Lobby,Gym,Security Room,Driver Waiting,Fire Protection,Guard Accommodation,Lobby Lounge,High-speed internet"
Navana Oval,Commercial,,,1,,,https://bestbari.com/flat-sale-dhaka/navanaoval-number-2/,"Air Conditioning,Garage,Full Load Power Backup,Security Surveillance System,Fire Fighting and Detection System,24/7 CCTV Surveillance,Security Room,Fire Protection,Guard Accommodation,Reception"
Symphony,Apartment,5,4,2,6938,2021,https://bestbari.com/flat-sale-dhaka/symphony/,"Full Load Power Backup,Parking,Landscaping,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Waiting Lobby,Community Space,Fire Protection,Rainwater Harvesting"
Lake Placid,Apartment,3,3,1,1700,2021,https://bestbari.com/flat-sale-dhaka/lake-placid/,"Garage,Landscaping,Swimming Pool,International Standard Lift,Generator Backup,Waiting Lobby,Fire Protection,Fitness Center,Rainwater Harvesting,Reception,VRF Air Conditioning"
Sunny Side,Apartment,4,3,1,1570,2021,https://bestbari.com/flat-sale-dhaka/sunny-side/,"Common Area,Parking,International Standard Lift,Generator Backup,Fire Protection,Guard Post"
Sambilan,Apartment,3,3,1,2375,2021,https://bestbari.com/flat-sale-dhaka/sambilan/,"Garage,Full Load Power Backup,Common Area,Security Surveillance System,Swimming Pool,International Standard Lift,Generator Backup,Security Room,Reception"
FS Vega,Apartment,4,4,2,4594,2019,https://bestbari.com/flat-sale-dhaka/fs-vega/,"Air Conditioning,Garage,Full Load Power Backup,Double Glazed Glass Window,Landscaping,Swimming Pool,International Standard Lift,Fire Protection,Fitness Center,Guard Post,Reception,VRF Air Conditioning"
Paramount Square,Apartment,4,3,1,2280,2022,https://bestbari.com/flat-sale-dhaka/paramount-square/,"Parking,International Standard Lift,Generator Backup,Waiting Lobby,Security Room,Fire Protection,Reception"
Sanchayeeta,Apartment,3,3,1,1900,2022,https://bestbari.com/flat-sale-dhaka/sanchayeeta/,"Garage,Common Area,Security Surveillance System,International Standard Lift,Generator Backup,Community Space,Fire Protection,Fitness Center,Playground,Reception"
Ascension,Apartment,4,3,1,3080,2021,https://bestbari.com/flat-sale-dhaka/ascension/,"Garage,Common Area,Landscaping,Generator Backup,Waiting Lobby,Fire Protection"
South Park,Apartment,3,3,1,1724,2020,https://bestbari.com/flat-sale-dhaka/south-park/,"Garage,Common Area,Landscaping,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Security Room,Guard Post,Reception"
Angelica Noor,Apartment,3,3,1,1546,2021,https://bestbari.com/flat-sale-dhaka/angelica-noor/,"Air Conditioning,Garage,International Standard Lift,Generator Backup,Cloth Drying Area,Fire Protection,Reception"
Assure Marina,Apartment,3,3,1,1721,2021,https://bestbari.com/flat-sale-dhaka/assure-marina/,"Garage,Common Area,Security Surveillance System,International Standard Lift,Generator Backup,Waiting Room,Security Room,Fire Protection,Guard Post"
Monte Valino,Apartment,4,4,2,3642,2021,https://bestbari.com/flat-sale-dhaka/monte-valino/,"Air Conditioning,Garage,Common Area,Landscaping,Swimming Pool,International Standard Lift,Generator Backup,Gym,Fire Protection,Lobby Lounge"
SKYMARK,Commercial,,,4,"5,811 -10,392",,https://bestbari.com/flat-sale-dhaka/skymark-2/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Double Glazed Glass Window,Multi Level Basement Car Parking,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Security Room,Driver Waiting,Fire Protection,Guard Accommodation,Reception,VRF Air Conditioning,High-speed internet"
SHANTA WESTERN TOWER,Commercial,,,3,,,https://bestbari.com/flat-sale-dhaka/shanta-western-tower/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Double Glazed Glass Window,Multi Level Basement Car Parking,Parking,Security Surveillance System,Generator Backup,24/7 CCTV Surveillance,Fire Protection,Guard Accommodation,Reception,Lobby Lounge,High-speed internet"
THE GLASS HOUSE,Commercial,,,3,"5,323 - 8,427 ",,https://bestbari.com/flat-sale-dhaka/the-glass-house/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Double Glazed Glass Window,Multi Level Basement Car Parking,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Security Room,Driver Waiting,Fire Protection,Guard Accommodation,Reception,Lobby Lounge,High-speed internet"
CONCORD LILY HEIGHTS,Commercial,,,3,2747-7556,,https://bestbari.com/flat-sale-dhaka/concord-lily-heights/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Double Glazed Glass Window,Multi Level Basement Car Parking,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Security Room,Guard Accommodation"
